BinaryPropagations,BoolPropagations,ExitCode,Propagations,Restarts,SATClauses,SATVars,SavileRowClauseOut,SavileRowTimeOut,SavileRowTotalTime,SolverMemOut,SolverNodes,SolverSatisfiable,SolverTimeOut,SolverTotalTime,TheoryPropagations,configuration,instance,problem,seed
NA,NA,Success,NA,NA,22340,9070,0,0,57.389,NA,NA,1,NA,166.10,NA,smt-bv-nested-z3,data1400,JPEncoding,8
NA,NA,Success,NA,NA,22340,9070,0,0,58.978,NA,NA,1,NA,167.95,NA,smt-bv-nested-z3-pairwisealldiff,data1400,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1400,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1400,JPEncoding,8
NA,1388910,Success,NA,1,28501,15231,0,0,58.939,0,68963,1,0,1.424,0,smt-lia-flat,data1400,JPEncoding,8
NA,1375480,Success,NA,1,22340,9070,0,0,56.345,0,73173,1,0,1.372,0,smt-lia-nested,data1400,JPEncoding,8
19004190,NA,Success,22911833,4,28501,15231,0,0,59.443,NA,609346,1,NA,153.57,NA,smt-nia-flat,data1400,JPEncoding,8
19086691,NA,Success,23692365,5,22340,9070,0,0,57.578,NA,738251,1,NA,96.86,NA,smt-nia-nested,data1400,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,42.429,NA,NA,1,0,5.973,NA,fzn2omt-int-mathsat,data1400,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,37.684,NA,NA,1,0,30.266,NA,fzn2omt-int-z3,data1400,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1700,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,97.168,NA,NA,1,0,90.307,NA,chuffed,data1700,JPEncoding,1
NA,NA,Success,NA,NA,35243,18248,0,0,72.822,NA,NA,0,NA,3600.05020067,NA,smt-bv-flat,data1700,JPEncoding,1
NA,NA,Success,NA,NA,27789,10794,0,0,72.755,NA,NA,0,NA,3600.050856142,NA,smt-bv-nested,data1700,JPEncoding,1
NA,NA,Success,NA,NA,27789,10794,0,0,76.022,NA,NA,1,NA,314.05,NA,smt-bv-nested-z3,data1700,JPEncoding,1
NA,NA,Success,NA,NA,27789,10794,0,0,75.503,NA,NA,1,NA,313.43,NA,smt-bv-nested-z3-pairwisealldiff,data1700,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1700,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.004,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1700,JPEncoding,1
NA,2751664,Success,NA,2,35243,18248,0,0,72.637,0,131906,1,0,2.652,0,smt-lia-flat,data1700,JPEncoding,1
NA,2929529,Success,NA,2,27789,10794,0,0,75.158,0,143653,1,0,2.419,0,smt-lia-nested,data1700,JPEncoding,1
26365673,NA,Success,30754963,5,35243,18248,0,0,72.302,NA,956591,1,NA,341.84,NA,smt-nia-flat,data1700,JPEncoding,1
27441101,NA,Success,32601154,6,27789,10794,0,0,72.272,NA,1160172,1,NA,240.74,NA,smt-nia-nested,data1700,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,46.653,NA,NA,1,0,8.428,NA,fzn2omt-int-mathsat,data1700,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,45.694,NA,NA,1,0,47.121,NA,fzn2omt-int-z3,data1700,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,100.369,NA,NA,1,0,106.042,NA,chuffed,data1700,JPEncoding,3
NA,NA,Success,NA,NA,27789,10794,0,0,73.254,NA,NA,0,NA,3600.051501515,NA,smt-bv-nested,data1700,JPEncoding,3
NA,NA,Success,NA,NA,27789,10794,0,0,75.892,NA,NA,1,NA,305.88,NA,smt-bv-nested-z3,data1700,JPEncoding,3
NA,NA,Success,NA,NA,27789,10794,0,0,78.533,NA,NA,1,NA,319.68,NA,smt-bv-nested-z3-pairwisealldiff,data1700,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1700,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1700,JPEncoding,3
NA,2807439,Success,NA,2,35243,18248,0,0,76.638,0,133222,1,0,2.227,0,smt-lia-flat,data1700,JPEncoding,3
NA,2847075,Success,NA,2,27789,10794,0,0,73.104,0,142249,1,0,2.365,0,smt-lia-nested,data1700,JPEncoding,3
26365673,NA,Success,30754963,5,35243,18248,0,0,75.348,NA,956591,1,NA,341.40,NA,smt-nia-flat,data1700,JPEncoding,3
27441101,NA,Success,32601154,6,27789,10794,0,0,72.292,NA,1160172,1,NA,242.42,NA,smt-nia-nested,data1700,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,53.828,NA,NA,1,0,9.022,NA,fzn2omt-int-mathsat,data1700,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,47.425,NA,NA,1,0,45.57,NA,fzn2omt-int-z3,data1700,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1700,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,96.272,NA,NA,1,0,91.69,NA,chuffed,data1700,JPEncoding,8
NA,NA,Success,NA,NA,27789,10794,0,0,71.693,NA,NA,0,NA,3600.051486354,NA,smt-bv-nested,data1700,JPEncoding,8
NA,NA,Success,NA,NA,27789,10794,0,0,74.119,NA,NA,1,NA,305.40,NA,smt-bv-nested-z3,data1700,JPEncoding,8
NA,NA,Success,NA,NA,27789,10794,0,0,75.812,NA,NA,1,NA,305.82,NA,smt-bv-nested-z3-pairwisealldiff,data1700,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1700,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.004,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1700,JPEncoding,8
NA,3091611,Success,NA,2,35243,18248,0,0,72.599,0,146624,1,0,2.629,0,smt-lia-flat,data1700,JPEncoding,8
NA,3231086,Success,NA,2,27789,10794,0,0,72.921,0,157725,1,0,2.532,0,smt-lia-nested,data1700,JPEncoding,8
26365673,NA,Success,30754963,5,35243,18248,0,0,74.496,NA,956591,1,NA,337.33,NA,smt-nia-flat,data1700,JPEncoding,8
24892790,NA,Success,29508458,6,27789,10794,0,0,75.417,NA,1062744,1,NA,217.91,NA,smt-nia-nested,data1700,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,47.614,NA,NA,1,0,10.254,NA,fzn2omt-int-mathsat,data1700,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,47.029,NA,NA,1,0,48.096,NA,fzn2omt-int-z3,data1700,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1900,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,106.386,NA,NA,1,0,171.735,NA,chuffed,data1900,JPEncoding,1
NA,NA,Success,NA,NA,37027,19400,0,0,80.606,NA,NA,0,NA,3600.052889633,NA,smt-bv-flat,data1900,JPEncoding,1
NA,NA,Success,NA,NA,29180,11553,0,0,84.294,NA,NA,0,NA,3600.048754426,NA,smt-bv-nested,data1900,JPEncoding,1
NA,NA,Success,NA,NA,29180,11553,0,0,81.751,NA,NA,1,NA,461.13,NA,smt-bv-nested-z3,data1900,JPEncoding,1
NA,NA,Success,NA,NA,29180,11553,0,0,83.846,NA,NA,1,NA,456.24,NA,smt-bv-nested-z3-pairwisealldiff,data1900,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1900,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1900,JPEncoding,1
NA,2949173,Success,NA,2,37027,19400,0,0,82.867,0,140171,1,0,2.252,0,smt-lia-flat,data1900,JPEncoding,1
NA,2600286,Success,NA,2,29180,11553,0,0,81.492,0,133967,1,0,2.298,0,smt-lia-nested,data1900,JPEncoding,1
30505284,NA,Success,36035578,5,37027,19400,0,0,83.532,NA,1053286,1,NA,330.00,NA,smt-nia-flat,data1900,JPEncoding,1
30046110,NA,Success,36232772,6,29180,11553,0,0,83.094,NA,1199785,1,NA,282.96,NA,smt-nia-nested,data1900,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,45.55,NA,NA,1,0,10.01,NA,fzn2omt-int-mathsat,data1900,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,48.453,NA,NA,1,0,47.581,NA,fzn2omt-int-z3,data1900,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1900,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,106.118,NA,NA,1,0,172.689,NA,chuffed,data1900,JPEncoding,3
NA,NA,Success,NA,NA,29180,11553,0,0,81.699,NA,NA,0,NA,3600.048643457,NA,smt-bv-nested,data1900,JPEncoding,3
NA,NA,Success,NA,NA,29180,11553,0,0,83.457,NA,NA,1,NA,470.13,NA,smt-bv-nested-z3,data1900,JPEncoding,3
NA,NA,Success,NA,NA,29180,11553,0,0,85.06,NA,NA,1,NA,478.17,NA,smt-bv-nested-z3-pairwisealldiff,data1900,JPEncoding,3
